         1486325 function calls (1464900 primitive calls) in 1.766 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.356    0.178    0.356    0.178 {built-in method matplotlib._png.write_png}
    28865    0.111    0.000    0.111    0.000 {method 'split' of 'str' objects}
    22951    0.068    0.000    0.069    0.000 plot_gtex_binary.py:12(binary_search)
        1    0.066    0.066    1.416    1.416 plot_gtex_binary.py:29(main)
    19532    0.042    0.000    0.042    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      120    0.037    0.000    0.037    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     3554    0.036    0.000    0.036    0.000 {method 'values' of 'dict' objects}
      250    0.035    0.000    0.035    0.000 {built-in method marshal.loads}
    21602    0.033    0.000    0.033    0.000 {built-in method numpy.array}
    38/37    0.030    0.001    0.032    0.001 {built-in method _imp.create_dynamic}
      360    0.022    0.000    0.022    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    22953    0.021    0.000    0.022    0.000 plot_gtex_binary.py:4(linear_search)
      576    0.021    0.000    0.044    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    16691    0.019    0.000    0.064    0.000 fromnumeric.py:69(_wrapreduction)
     2467    0.019    0.000    0.033    0.000 inspect.py:613(cleandoc)
        1    0.019    0.019    0.019    0.019 {method 'dot' of 'numpy.ndarray' objects}
        1    0.018    0.018    1.766    1.766 plot_gtex_binary.py:1(<module>)
      195    0.015    0.000    0.019    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        3    0.014    0.005    0.015    0.005 backend_agg.py:80(__init__)
 1036/945    0.012    0.000    0.046    0.000 {built-in method builtins.__build_class__}
      436    0.011    0.000    0.148    0.000 _base.py:2425(handle_single_axis)
      984    0.011    0.000    0.114    0.000 lines.py:751(draw)
21485/16511    0.011    0.000    0.021    0.000 artist.py:219(stale)
    61109    0.011    0.000    0.016    0.000 {built-in method builtins.isinstance}
     4955    0.011    0.000    0.011    0.000 {built-in method numpy.dot}
    23020    0.010    0.000    0.026    0.000 __init__.py:810(__getitem__)
     1242    0.009    0.000    0.009    0.000 {built-in method posix.stat}
      250    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:914(get_data)
120149/119217    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    23796    0.008    0.000    0.010    0.000 {built-in method builtins.getattr}
      875    0.007    0.000    0.018    0.000 numeric.py:2508(within_tol)
   104980    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     1334    0.007    0.000    0.010    0.000 transforms.py:2791(nonsingular)
3654/2115    0.007    0.000    0.024    0.000 transforms.py:2395(get_affine)
      655    0.007    0.000    0.032    0.000 transforms.py:708(intersection)
      412    0.007    0.000    0.090    0.000 lines.py:273(__init__)
      120    0.006    0.000    0.006    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
  441/175    0.006    0.000    0.016    0.000 sre_parse.py:475(_parse)
    11388    0.006    0.000    0.006    0.000 transforms.py:82(__init__)
     2517    0.006    0.000    0.017    0.000 transforms.py:726(__init__)
    29220    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
    16691    0.005    0.000    0.005    0.000 fromnumeric.py:70(<dictcomp>)
4551/1981    0.005    0.000    0.041    0.000 transforms.py:137(_invalidate_internal)
      393    0.005    0.000    0.024    0.000 lines.py:667(recache)
 1768/878    0.005    0.000    0.011    0.000 units.py:142(get_converter)
     5517    0.005    0.000    0.026    0.000 transforms.py:1025(get_points)
      582    0.005    0.000    0.058    0.000 text.py:270(_get_layout)
    22246    0.005    0.000    0.005    0.000 {built-in method builtins.min}
     7452    0.005    0.000    0.008    0.000 transforms.py:1683(__init__)
     4230    0.004    0.000    0.004    0.000 {method 'copy' of 'numpy.ndarray' objects}
      218    0.004    0.000    0.008    0.000 _base.py:2415(<listcomp>)
     6117    0.004    0.000    0.026    0.000 fromnumeric.py:2512(amin)
      548    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        2    0.004    0.002    0.016    0.008 font_manager.py:1240(_findfont_cached)
     1826    0.004    0.000    0.004    0.000 transforms.py:164(set_children)
      293    0.004    0.000    0.005    0.000 __init__.py:1673(normalize_kwargs)
      638    0.004    0.000    0.010    0.000 inspect.py:2117(_signature_from_function)
      436    0.004    0.000    0.006    0.000 _base.py:2434(<listcomp>)
     6123    0.003    0.000    0.023    0.000 fromnumeric.py:2397(amax)
     5289    0.003    0.000    0.010    0.000 transforms.py:1819(__init__)
    26781    0.003    0.000    0.003    0.000 artist.py:1020(sticky_edges)
    11906    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
     1626    0.003    0.000    0.005    0.000 font_manager.py:660(__hash__)
      624    0.003    0.000    0.005    0.000 artist.py:74(__init__)
     4407    0.003    0.000    0.034    0.000 re.py:271(_compile)
    28506    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
    24639    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    23330    0.003    0.000    0.003    0.000 {function RcParams.__getitem__ at 0x7fc6981fb378}
      250    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
      243    0.003    0.000    0.074    0.000 text.py:655(draw)
      875    0.003    0.000    0.035    0.000 numeric.py:2431(isclose)
  888/169    0.003    0.000    0.007    0.000 sre_compile.py:71(_compile)
   1380/3    0.003    0.000    0.303    0.101 artist.py:30(draw_wrapper)
       27    0.003    0.000    0.014    0.001 __init__.py:908(_rc_params_in_file)
      900    0.003    0.000    0.008    0.000 backend_bases.py:718(__init__)
      462    0.003    0.000    0.006    0.000 transforms.py:671(translated)
     1756    0.003    0.000    0.007    0.000 numeric.py:2656(seterr)
      475    0.003    0.000    0.046    0.000 transforms.py:697(union)
      588    0.003    0.000    0.013    0.000 inspect.py:1089(getfullargspec)
    21714    0.003    0.000    0.003    0.000 artist.py:774(get_animated)
     7084    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     1458    0.003    0.000    0.030    0.000 transforms.py:1377(transform)
     3279    0.003    0.000    0.015    0.000 colors.py:149(to_rgba)
      768    0.003    0.000    0.003    0.000 font_manager.py:1119(score_stretch)
    26235    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
      715    0.003    0.000    0.012    0.000 artist.py:942(update)
6756/6752    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
    12608    0.002    0.000    0.002    0.000 transforms.py:946(get_points)
     1756    0.002    0.000    0.003    0.000 numeric.py:2758(geterr)
