         1453550 function calls (1432125 primitive calls) in 14.484 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45904   12.870    0.000   12.873    0.000 plot_gtex_linear.py:4(linear_search)
        2    0.326    0.163    0.326    0.163 {built-in method matplotlib._png.write_png}
    28865    0.114    0.000    0.114    0.000 {method 'split' of 'str' objects}
        1    0.068    0.068   14.080   14.080 plot_gtex_linear.py:30(main)
      250    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
    19532    0.038    0.000    0.038    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      120    0.034    0.000    0.034    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    21602    0.031    0.000    0.031    0.000 {built-in method numpy.array}
    38/37    0.030    0.001    0.032    0.001 {built-in method _imp.create_dynamic}
        1    0.023    0.023    0.023    0.023 {method 'dot' of 'numpy.ndarray' objects}
     2467    0.022    0.000    0.038    0.000 inspect.py:613(cleandoc)
      360    0.019    0.000    0.019    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      576    0.019    0.000    0.041    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.019    0.019   14.484   14.484 plot_gtex_linear.py:1(<module>)
    16691    0.017    0.000    0.059    0.000 fromnumeric.py:69(_wrapreduction)
      195    0.015    0.000    0.019    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
 1036/945    0.015    0.000    0.052    0.000 {built-in method builtins.__build_class__}
        3    0.013    0.004    0.013    0.004 backend_agg.py:80(__init__)
     1242    0.011    0.000    0.011    0.000 {built-in method posix.stat}
    61109    0.011    0.000    0.021    0.000 {built-in method builtins.isinstance}
      984    0.010    0.000    0.110    0.000 lines.py:751(draw)
     4955    0.010    0.000    0.010    0.000 {built-in method numpy.dot}
      436    0.010    0.000    0.128    0.000 _base.py:2425(handle_single_axis)
21485/16511    0.010    0.000    0.019    0.000 artist.py:219(stale)
      250    0.010    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    23020    0.009    0.000    0.025    0.000 __init__.py:810(__getitem__)
120149/119217    0.009    0.000    0.009    0.000 {built-in method builtins.len}
    23796    0.008    0.000    0.010    0.000 {built-in method builtins.getattr}
    88596    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
3654/2115    0.007    0.000    0.023    0.000 transforms.py:2395(get_affine)
  441/175    0.007    0.000    0.019    0.000 sre_parse.py:475(_parse)
      655    0.007    0.000    0.034    0.000 transforms.py:708(intersection)
     1334    0.007    0.000    0.009    0.000 transforms.py:2791(nonsingular)
      875    0.007    0.000    0.016    0.000 numeric.py:2508(within_tol)
    29220    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
      412    0.006    0.000    0.050    0.000 lines.py:273(__init__)
  317/228    0.006    0.000    0.006    0.000 {built-in method _abc._abc_subclasscheck}
      120    0.006    0.000    0.006    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     2517    0.006    0.000    0.016    0.000 transforms.py:726(__init__)
    22246    0.005    0.000    0.005    0.000 {built-in method builtins.min}
    11388    0.005    0.000    0.005    0.000 transforms.py:82(__init__)
     5517    0.005    0.000    0.025    0.000 transforms.py:1025(get_points)
    16691    0.005    0.000    0.005    0.000 fromnumeric.py:70(<dictcomp>)
 1768/878    0.005    0.000    0.011    0.000 units.py:142(get_converter)
      393    0.005    0.000    0.022    0.000 lines.py:667(recache)
4551/1981    0.005    0.000    0.006    0.000 transforms.py:137(_invalidate_internal)
     7452    0.005    0.000    0.008    0.000 transforms.py:1683(__init__)
      582    0.005    0.000    0.048    0.000 text.py:270(_get_layout)
      548    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      638    0.004    0.000    0.012    0.000 inspect.py:2117(_signature_from_function)
